+--------------------+------------+------------+------------+------------+------------+
|      Palabra       | P3/TC1.txt | P3/TC2.txt | P3/TC3.txt | P3/TC4.txt | P3/TC5.txt |
|       beans        |     0      |     0      |     0      |     1      |     0      |
|     beautiful      |     0      |     0      |     0      |     1      |     0      |
|      becomes       |     0      |     0      |     0      |     0      |     1      |
|      bedding       |     1      |     0      |     0      |     0      |     0      |
|      bedrooms      |     0      |     0      |     1      |     1      |     0      |
|        beds        |     0      |     0      |     1      |     0      |     0      |
|       began        |     0      |     0      |     0      |     1      |     1      |
|       begin        |     0      |     0      |     0      |     1      |     0      |
|      beginner      |     0      |     0      |     0      |     1      |     0      |
|       beings       |     0      |     0      |     0      |     0      |     1      |
|      believes      |     0      |     0      |     0      |     0      |     1      |
|       belkin       |     0      |     0      |     0      |     1      |     0      |
|       belle        |     0      |     0      |     0      |     0      |     1      |
|       belly        |     0      |     0      |     0      |     0      |     1      |
|       below        |     0      |     0      |     0      |     1      |     0      |
|        belt        |     0      |     0      |     1      |     0      |     0      |
|        ben         |     0      |     0      |     0      |     1      |     0      |
|     benchmark      |     0      |     0      |     1      |     2      |     0      |
|        bend        |     0      |     0      |     0      |     1      |     0      |
|       berlin       |     0      |     0      |     0      |     1      |     0      |
|      bernard       |     0      |     0      |     0      |     0      |     1      |
|       berry        |     0      |     0      |     0      |     1      |     0      |
|       beside       |     0      |     0      |     0      |     1      |     0      |
|     bestiality     |     0      |     0      |     1      |     0      |     0      |
|      beverage      |     0      |     0      |     0      |     1      |     0      |
|      beverly       |     0      |     0      |     1      |     0      |     0      |
|       bible        |     0      |     0      |     1      |     1      |     0      |
|       bigger       |     0      |     0      |     1      |     0      |     0      |
|      biggest       |     0      |     0      |     0      |     1      |     1      |
|        bike        |     0      |     0      |     0      |     1      |     0      |
|       bingo        |     0      |     0      |     0      |     1      |     0      |
|        bio         |     0      |     0      |     0      |     1      |     0      |
|    biographies     |     0      |     0      |     0      |     1      |     1      |
|     biography      |     0      |     0      |     1      |     0      |     0      |
|        biol        |     0      |     0      |     1      |     0      |     0      |
|      birthday      |     0      |     0      |     0      |     0      |     1      |
|        bits        |     0      |     0      |     0      |     0      |     1      |
|        biz         |     0      |     1      |     0      |     1      |     0      |
|      bizrate       |     0      |     0      |     0      |     1      |     0      |
|         bk         |     0      |     0      |     0      |     1      |     0      |
|       blade        |     0      |     0      |     0      |     1      |     0      |
|      blanket       |     0      |     0      |     0      |     0      |     1      |
|       blend        |     0      |     0      |     0      |     1      |     1      |
|       bless        |     0      |     0      |     0      |     0      |     2      |
|       blind        |     0      |     0      |     0      |     0      |     2      |
|       blink        |     0      |     0      |     0      |     0      |     1      |
|       block        |     0      |     0      |     0      |     0      |     1      |
|       blond        |     0      |     0      |     1      |     0      |     0      |
|       blood        |     0      |     0      |     0      |     0      |     1      |
|       bloom        |     0      |     0      |     0      |     1      |     0      |
|      blowjob       |     0      |     1      |     0      |     0      |     0      |
|       blues        |     1      |     0      |     2      |     1      |     1      |
|     bluetooth      |     0      |     0      |     0      |     0      |     1      |
|        blvd        |     0      |     0      |     0      |     0      |     1      |
|        bob         |     0      |     0      |     0      |     0      |     1      |
|        boc         |     0      |     0      |     0      |     0      |     1      |
|       bodies       |     0      |     0      |     1      |     0      |     0      |
|        bolt        |     0      |     0      |     0      |     1      |     0      |
|        bon         |     0      |     0      |     0      |     1      |     0      |
|       bonus        |     0      |     0      |     0      |     0      |     1      |
|       boobs        |     0      |     0      |     0      |     1      |     2      |
|        book        |     0      |     0      |     0      |     2      |     0      |
|      booking       |     0      |     0      |     0      |     1      |     0      |
|      bookmark      |     0      |     0      |     0      |     0      |     1      |
|       books        |     0      |     0      |     0      |     1      |     0      |
|        bool        |     0      |     0      |     0      |     0      |     2      |
|       boots        |     0      |     1      |     0      |     0      |     0      |
|       booty        |     0      |     0      |     0      |     1      |     0      |
|       bottle       |     0      |     0      |     0      |     0      |     1      |
|     boulevard      |     0      |     0      |     0      |     0      |     1      |
|       bound        |     0      |     0      |     0      |     0      |     1      |
|      boundary      |     0      |     0      |     0      |     1      |     0      |
|      bouquet       |     0      |     0      |     0      |     0      |     1      |
|      bowling       |     0      |     0      |     0      |     1      |     0      |
|       boxing       |     0      |     0      |     0      |     0      |     2      |
|        bra         |     0      |     0      |     0      |     1      |     0      |
|       brake        |     0      |     0      |     0      |     1      |     1      |
|       brass        |     0      |     4      |     0      |     0      |     0      |
|       brave        |     0      |     0      |     0      |     0      |     1      |
|       break        |     0      |     0      |     0      |     1      |     0      |
|     breakfast      |     0      |     0      |     0      |     0      |     1      |
|     breathing      |     0      |     0      |     0      |     0      |     1      |
|       breeds       |     0      |     0      |     1      |     0      |     0      |
|       brian        |     0      |     0      |     0      |     0      |     1      |
|       bridal       |     0      |     0      |     0      |     1      |     0      |
|       briefs       |     0      |     0      |     0      |     0      |     1      |
|       bring        |     0      |     0      |     1      |     0      |     0      |
|      bringing      |     0      |     0      |     0      |     0      |     1      |
|      britain       |     0      |     0      |     1      |     0      |     0      |
|     broadcast      |     0      |     0      |     0      |     1      |     0      |
|    broadcasting    |     0      |     0      |     0      |     0      |     1      |
|      brochure      |     0      |     0      |     0      |     1      |     0      |
|     brochures      |     0      |     0      |     0      |     0      |     1      |
|       broken       |     0      |     0      |     0      |     0      |     1      |
|       broker       |     0      |     0      |     1      |     0      |     1      |
|      brooklyn      |     0      |     0      |     0      |     1      |     0      |
|      browsers      |     0      |     0      |     0      |     1      |     0      |
|       bruce        |     0      |     0      |     0      |     0      |     1      |
|       brutal       |     0      |     0      |     1      |     0      |     0      |
|       bryan        |     0      |     0      |     0      |     1      |     0      |
|       bryant       |     0      |     0      |     0      |     1      |     0      |
|         bt         |     0      |     0      |     0      |     1      |     0      |
|       bubble       |     0      |     0      |     0      |     0      |     1      |
|        buck        |     0      |     0      |     0      |     1      |     0      |
|       buddy        |     0      |     0      |     1      |     0      |     0      |
|      builders      |     0      |     1      |     0      |     0      |     0      |
|      building      |     0      |     0      |     0      |     1      |     0      |
|     buildings      |     0      |     0      |     1      |     0      |     0      |
|       built        |     0      |     0      |     1      |     0      |     0      |
|      bulletin      |     0      |     0      |     0      |     1      |     0      |
|       bunch        |     0      |     0      |     1      |     0      |     1      |
|       bunny        |     0      |     0      |     0      |     0      |     1      |
|        burn        |     0      |     0      |     0      |     1      |     0      |
|       burner       |     0      |     0      |     0      |     1      |     1      |
|       buses        |     0      |     0      |     0      |     1      |     0      |
|       busty        |     0      |     0      |     0      |     0      |     1      |
|       butler       |     0      |     0      |     1      |     0      |     0      |
|       butts        |     0      |     0      |     1      |     0      |     0      |
|       buyer        |     0      |     0      |     0      |     0      |     1      |
|       buying       |     1      |     0      |     0      |     0      |     0      |
|         bw         |     0      |     0      |     0      |     0      |     2      |
|      cabinet       |     0      |     0      |     0      |     1      |     0      |
|       cables       |     0      |     0      |     1      |     0      |     0      |
|     calculated     |     0      |     0      |     1      |     1      |     0      |
|     calendars      |     0      |     0      |     1      |     0      |     0      |
|      calgary       |     0      |     0      |     0      |     1      |     2      |
|    calibration     |     0      |     0      |     0      |     1      |     1      |
|     california     |     0      |     0      |     1      |     0      |     0      |
|      calling       |     0      |     0      |     0      |     1      |     0      |
|       calvin       |     0      |     0      |     0      |     1      |     0      |
|        cam         |     0      |     0      |     0      |     0      |     1      |
|      cambodia      |     0      |     0      |     0      |     0      |     1      |
|     cambridge      |     0      |     0      |     0      |     0      |     1      |
|     camcorder      |     0      |     0      |     0      |     0      |     1      |
|       camel        |     0      |     0      |     0      |     1      |     0      |
|      cameras       |     0      |     0      |     0      |     1      |     0      |
|      cameron       |     0      |     0      |     1      |     0      |     0      |
|     campaigns      |     0      |     0      |     0      |     1      |     0      |
|       campus       |     0      |     0      |     0      |     0      |     1      |
|        cams        |     0      |     0      |     0      |     0      |     2      |
|       canal        |     0      |     0      |     0      |     1      |     1      |
|       cancel       |     0      |     0      |     1      |     1      |     0      |
|    cancellation    |     0      |     0      |     0      |     0      |     1      |
|       cannon       |     0      |     1      |     0      |     0      |     0      |
|      capital       |     0      |     0      |     1      |     0      |     0      |
|      capitol       |     0      |     0      |     0      |     0      |     1      |
|        caps        |     0      |     0      |     0      |     1      |     1      |
|        car         |     0      |     0      |     0      |     1      |     0      |
|        carb        |     0      |     0      |     0      |     0      |     1      |
|       carlos       |     0      |     0      |     0      |     0      |     1      |
|      carnival      |     0      |     0      |     0      |     0      |     1      |
|        cars        |     0      |     0      |     0      |     1      |     0      |
|       carter       |     0      |     0      |     0      |     0      |     1      |
|      cartoons      |     0      |     0      |     0      |     0      |     1      |
|     cartridge      |     1      |     0      |     0      |     0      |     0      |
|     cartridges     |     0      |     0      |     0      |     1      |     0      |
|        casa        |     0      |     0      |     0      |     1      |     1      |
|      cashiers      |     0      |     0      |     1      |     1      |     0      |
|       castle       |     0      |     0      |     0      |     2      |     0      |
|      catalog       |     0      |     1      |     0      |     0      |     1      |
|      catalogs      |     0      |     0      |     1      |     0      |     0      |
|      catalyst      |     0      |     0      |     0      |     0      |     1      |
|      causing       |     0      |     0      |     1      |     0      |     0      |
|        cave        |     0      |     0      |     0      |     0      |     1      |
|         cb         |     0      |     0      |     0      |     1      |     2      |
|         ce         |     0      |     0      |     0      |     0      |     1      |
|       cedar        |     0      |     0      |     0      |     0      |     2      |
|    celebration     |     0      |     0      |     1      |     0      |     0      |
|       cells        |     0      |     0      |     0      |     1      |     0      |
|       census       |     0      |     0      |     1      |     0      |     0      |
|      ceremony      |     0      |     0      |     0      |     0      |     1      |
|        cet         |     0      |     0      |     0      |     1      |     1      |
|        cfr         |     0      |     0      |     1      |     0      |     0      |
|        cgi         |     1      |     0      |     0      |     0      |     0      |
|       chain        |     0      |     4      |     0      |     0      |     0      |
|     challenges     |     0      |     0      |     1      |     1      |     0      |
|    challenging     |     0      |     0      |     0      |     0      |     1      |
|      chambers      |     0      |     0      |     0      |     0      |     1      |
|     champions      |     0      |     0      |     0      |     1      |     0      |
|    championship    |     1      |     0      |     0      |     0      |     0      |
|      changed       |     0      |     0      |     0      |     0      |     1      |
|       chaos        |     0      |     0      |     1      |     0      |     1      |
|      chapter       |     0      |     0      |     0      |     0      |     1      |
|        char        |     0      |     0      |     0      |     1      |     0      |
|  characterization  |     0      |     0      |     0      |     0      |     1      |
|      charger       |     0      |     0      |     0      |     1      |     0      |
|      charging      |     0      |     0      |     0      |     0      |     1      |
|      charity       |     0      |     0      |     2      |     1      |     0      |
|     charlotte      |     0      |     0      |     0      |     0      |     1      |
|      charter       |     0      |     0      |     0      |     0      |     1      |
|       charts       |     0      |     0      |     0      |     2      |     0      |
|       chase        |     0      |     0      |     0      |     1      |     0      |
|       cheap        |     0      |     0      |     0      |     1      |     0      |
|       check        |     0      |     0      |     0      |     1      |     0      |
|     checklist      |     0      |     0      |     0      |     1      |     0      |
|       cheese       |     0      |     1      |     0      |     0      |     0      |
|      chelsea       |     0      |     0      |     0      |     1      |     0      |
|     chemicals      |     0      |     0      |     0      |     1      |     0      |
|        chen        |     0      |     0      |     0      |     0      |     1      |
|       chess        |     0      |     0      |     0      |     0      |     1      |
|      chester       |     0      |     0      |     0      |     0      |     1      |
|       chips        |     0      |     0      |     1      |     0      |     0      |
|       choir        |     0      |     0      |     0      |     0      |     1      |
|    cholesterol     |     0      |     0      |     0      |     1      |     0      |
|       chose        |     0      |     0      |     0      |     0      |     1      |
|       chosen       |     0      |     1      |     0      |     0      |     0      |
|       christ       |     0      |     0      |     0      |     1      |     0      |
|     christian      |     0      |     0      |     0      |     1      |     1      |
|     christina      |     0      |     0      |     0      |     1      |     0      |
|    christopher     |     0      |     0      |     1      |     1      |     0      |
|       chrome       |     0      |     0      |     0      |     1      |     2      |
|      chronic       |     0      |     0      |     1      |     0      |     0      |
|     chronicle      |     0      |     0      |     0      |     0      |     1      |
|       church       |     0      |     0      |     0      |     1      |     1      |
|      churches      |     0      |     0      |     1      |     0      |     0      |
|     cigarette      |     0      |     0      |     0      |     0      |     1      |
|     cigarettes     |     0      |     0      |     0      |     0      |     1      |
|       circle       |     0      |     0      |     0      |     0      |     1      |
|      circles       |     0      |     0      |     0      |     1      |     1      |
|      circuits      |     0      |     0      |     0      |     1      |     0      |
|      circular      |     0      |     0      |     0      |     1      |     0      |
|      citizens      |     0      |     0      |     0      |     0      |     1      |
|    civilization    |     0      |     0      |     0      |     0      |     1      |
|        clan        |     0      |     1      |     0      |     0      |     0      |
|       class        |     0      |     0      |     1      |     0      |     0      |
|      classes       |     0      |     1      |     0      |     0      |     0      |
|      classic       |     0      |     0      |     0      |     1      |     0      |
|   classification   |     0      |     0      |     0      |     0      |     1      |
|     classroom      |     0      |     0      |     0      |     0      |     1      |
|       clause       |     0      |     0      |     0      |     0      |     1      |
|        clay        |     0      |     0      |     0      |     0      |     1      |
|      cleaning      |     0      |     0      |     0      |     0      |     1      |
|       clear        |     1      |     0      |     0      |     0      |     0      |
|     clearance      |     0      |     0      |     0      |     1      |     1      |
|      clearing      |     0      |     0      |     0      |     0      |     1      |
|      clients       |     0      |     0      |     0      |     2      |     0      |
|       climb        |     0      |     0      |     0      |     0      |     2      |
|       clinic       |     0      |     0      |     0      |     0      |     1      |
|       clips        |     0      |     0      |     0      |     0      |     1      |
|       clock        |     0      |     0      |     1      |     0      |     0      |
|       clocks       |     0      |     0      |     1      |     0      |     0      |
|       close        |     0      |     0      |     0      |     0      |     1      |
|      closely       |     0      |     0      |     0      |     1      |     2      |
|       closes       |     0      |     0      |     1      |     0      |     0      |
|      closest       |     0      |     0      |     0      |     0      |     1      |
|      closure       |     0      |     0      |     0      |     0      |     1      |
|       cloudy       |     0      |     0      |     0      |     1      |     1      |
|        club        |     1      |     0      |     0      |     0      |     0      |
|       clubs        |     0      |     0      |     0      |     0      |     1      |
|      cluster       |     0      |     0      |     0      |     1      |     0      |
|        cms         |     0      |     0      |     0      |     0      |     1      |
|     coalition      |     0      |     0      |     0      |     0      |     1      |
|      coastal       |     1      |     0      |     0      |     2      |     0      |
|        coat        |     0      |     0      |     0      |     0      |     1      |
|       coated       |     0      |     0      |     0      |     0      |     2      |
|      coating       |     0      |     0      |     0      |     0      |     1      |
|        cole        |     0      |     0      |     0      |     0      |     1      |
|      coleman       |     0      |     0      |     0      |     0      |     2      |
|       colin        |     0      |     0      |     1      |     0      |     0      |
|       collar       |     0      |     0      |     0      |     1      |     0      |
|      collect       |     1      |     0      |     0      |     0      |     0      |
|    collectibles    |     0      |     0      |     0      |     0      |     1      |
|    collections     |     0      |     0      |     0      |     1      |     0      |
|     collective     |     0      |     0      |     0      |     0      |     1      |
|     collectors     |     0      |     0      |     0      |     0      |     1      |
|      colleges      |     0      |     0      |     0      |     1      |     0      |
|      cologne       |     0      |     0      |     0      |     0      |     1      |
|       colon        |     0      |     0      |     0      |     1      |     0      |
|      colonial      |     0      |     0      |     0      |     0      |     1      |
|      colorado      |     0      |     0      |     0      |     0      |     1      |
|      colored       |     0      |     0      |     0      |     0      |     2      |
|       column       |     0      |     0      |     0      |     0      |     1      |
|        com         |     0      |     0      |     0      |     0      |     1      |
|    combination     |     0      |     0      |     0      |     1      |     0      |
|      combines      |     0      |     0      |     0      |     0      |     1      |
|        come        |     0      |     1      |     0      |     0      |     0      |
|       comic        |     0      |     1      |     0      |     0      |     0      |
|        comm        |     1      |     0      |     0      |     0      |     0      |
|      commands      |     0      |     0      |     0      |     1      |     0      |
|     commented      |     0      |     0      |     1      |     0      |     1      |
|      commerce      |     0      |     0      |     0      |     1      |     0      |
|   commissioners    |     0      |     0      |     0      |     0      |     1      |
|     committees     |     0      |     0      |     0      |     1      |     0      |
|        comp        |     0      |     0      |     0      |     0      |     1      |
|     companies      |     0      |     0      |     0      |     1      |     0      |
|      company       |     0      |     0      |     0      |     1      |     0      |
|     comparable     |     0      |     0      |     1      |     0      |     0      |
|   compatibility    |     0      |     1      |     0      |     0      |     1      |
|     competing      |     0      |     0      |     0      |     0      |     1      |
|    competitors     |     0      |     0      |     0      |     0      |     1      |
|     completed      |     0      |     0      |     0      |     0      |     1      |
|     complexity     |     0      |     0      |     1      |     0      |     0      |
|     compliance     |     0      |     0      |     0      |     0      |     1      |
|    complicated     |     0      |     0      |     1      |     0      |     0      |
|     composite      |     0      |     0      |     0      |     0      |     1      |
|     compounds      |     0      |     0      |     0      |     1      |     0      |
|   computational    |     0      |     0      |     0      |     1      |     0      |
|      compute       |     0      |     0      |     0      |     0      |     1      |
|      computed      |     0      |     0      |     0      |     0      |     1      |
|     computing      |     0      |     0      |     0      |     1      |     0      |
|    concentrate     |     0      |     0      |     0      |     1      |     0      |
|   concentrations   |     0      |     0      |     0      |     0      |     1      |
|     conceptual     |     0      |     0      |     0      |     0      |     1      |
|     concerning     |     0      |     0      |     0      |     0      |     1      |
|    conclusions     |     0      |     0      |     0      |     0      |     1      |
|     condition      |     0      |     0      |     0      |     0      |     1      |
|       condo        |     0      |     0      |     0      |     0      |     1      |
|      conduct       |     0      |     1      |     0      |     1      |     0      |
|    conferences     |     0      |     0      |     0      |     0      |     1      |
|    conferencing    |     0      |     1      |     0      |     0      |     0      |
|    confidential    |     0      |     0      |     1      |     2      |     0      |
|       config       |     0      |     0      |     0      |     0      |     1      |
|    configuring     |     0      |     0      |     0      |     0      |     1      |
|      confirm       |     1      |     0      |     0      |     0      |     0      |
|     confirmed      |     0      |     0      |     0      |     0      |     1      |
|      confused      |     0      |     0      |     0      |     0      |     1      |
|    connecticut     |     0      |     0      |     0      |     0      |     1      |
|    connections     |     0      |     0      |     1      |     0      |     0      |
|     connector      |     0      |     0      |     0      |     1      |     0      |
|    consequence     |     0      |     0      |     0      |     0      |     1      |
|    consequences    |     0      |     0      |     0      |     0      |     1      |
|    conservation    |     0      |     0      |     1      |     0      |     0      |
|    conservative    |     2      |     0      |     0      |     0      |     1      |
|    considerable    |     0      |     0      |     0      |     1      |     1      |
|   consideration    |     0      |     0      |     0      |     1      |     0      |
|   considerations   |     0      |     0      |     1      |     0      |     0      |
|    considering     |     0      |     0      |     0      |     0      |     1      |
|      consist       |     0      |     0      |     0      |     2      |     1      |
|     consistent     |     1      |     0      |     0      |     0      |     0      |
|     consisting     |     0      |     1      |     0      |     0      |     0      |
|      consoles      |     0      |     0      |     0      |     1      |     0      |
|    consolidated    |     0      |     0      |     1      |     0      |     0      |
|   consolidation    |     0      |     0      |     0      |     0      |     1      |
|      constant      |     0      |     0      |     0      |     0      |     1      |
|     construct      |     0      |     0      |     0      |     0      |     1      |
|    construction    |     0      |     0      |     0      |     0      |     1      |
|     consultant     |     0      |     0      |     0      |     0      |     1      |
|    consultation    |     0      |     0      |     1      |     0      |     0      |
|     consulting     |     0      |     0      |     1      |     0      |     0      |
|    consumption     |     0      |     0      |     0      |     1      |     0      |
|      contacts      |     0      |     0      |     0      |     1      |     0      |
|      contain       |     0      |     0      |     1      |     0      |     0      |
|     contained      |     0      |     0      |     0      |     1      |     1      |
|     container      |     0      |     1      |     0      |     0      |     0      |
|      contains      |     0      |     0      |     0      |     2      |     0      |
|   contamination    |     1      |     0      |     0      |     0      |     0      |
|      contents      |     0      |     0      |     0      |     0      |     1      |
|    continental     |     0      |     0      |     0      |     0      |     1      |
|    continually     |     0      |     0      |     1      |     1      |     1      |
|     continued      |     0      |     0      |     1      |     0      |     0      |
|     continues      |     0      |     0      |     1      |     1      |     0      |
|     continuous     |     0      |     0      |     0      |     0      |     1      |
|    continuously    |     0      |     0      |     0      |     1      |     1      |
|    contracting     |     0      |     0      |     1      |     0      |     0      |
|     contractor     |     0      |     0      |     0      |     0      |     1      |
|      contrary      |     0      |     0      |     0      |     1      |     0      |
|      contrast      |     0      |     0      |     0      |     0      |     1      |
|     contribute     |     0      |     0      |     0      |     0      |     1      |
|    contributing    |     0      |     0      |     0      |     1      |     0      |
|     controller     |     0      |     0      |     0      |     1      |     0      |
|    convenience     |     0      |     0      |     1      |     0      |     1      |
|     conversion     |     0      |     0      |     0      |     1      |     0      |
|     converted      |     0      |     0      |     0      |     0      |     1      |
|        cook        |     0      |     0      |     0      |     0      |     1      |
|      cookbook      |     0      |     0      |     0      |     0      |     1      |
|       cooked       |     0      |     0      |     0      |     0      |     1      |
|    cooperative     |     0      |     0      |     0      |     0      |     1      |
|     coordinate     |     0      |     0      |     0      |     1      |     1      |
|    coordinates     |     0      |     0      |     1      |     1      |     0      |
|    coordination    |     0      |     0      |     0      |     0      |     1      |
|        cope        |     0      |     0      |     0      |     0      |     1      |
|        copy        |     0      |     0      |     2      |     0      |     1      |
|      copying       |     0      |     0      |     1      |     1      |     0      |
|        core        |     0      |     0      |     0      |     1      |     0      |
|        cork        |     0      |     0      |     0      |     1      |     0      |
|      cornwall      |     0      |     0      |     1      |     0      |     0      |
|        corp        |     0      |     1      |     0      |     1      |     0      |
|     corporate      |     0      |     0      |     0      |     1      |     0      |
|       corps        |     0      |     0      |     0      |     0      |     1      |
|       corpus       |     0      |     0      |     0      |     1      |     3      |
|      correct       |     0      |     1      |     0      |     0      |     0      |
|    corrections     |     0      |     0      |     0      |     0      |     1      |
|     correctly      |     0      |     0      |     1      |     0      |     0      |
|    correlation     |     0      |     1      |     0      |     0      |     0      |
|   correspondence   |     0      |     0      |     0      |     0      |     1      |
|      cosmetic      |     0      |     0      |     0      |     0      |     1      |
|        cost        |     0      |     0      |     0      |     0      |     1      |
|       could        |     1      |     0      |     0      |     0      |     0      |
|      council       |     0      |     0      |     0      |     0      |     1      |
